timestamp;test-class;test-method;time;description;result
2021-05-30 17:52:59.273;acme.testing.manager.task.ManagerTaskCreateTest;createNegative;5007;[1] recordIndex=0, title=null, description=null, periodInitial=null, periodFinal=null, workloadInHours=null, Link=null, isPublic=false;OK
2021-05-30 17:53:05.01;acme.testing.manager.task.ManagerTaskCreateTest;createNegative;5462;[2] recordIndex=1, title=Nigeria, description=descripcion bien, periodInitial=2021/06/30 17:50, periodFinal=2021/10/31 18:55, workloadInHours=999.10, Link=http://www.sample-app.com/, isPublic=true;OK
2021-05-30 17:53:10.479;acme.testing.manager.task.ManagerTaskCreateTest;createNegative;5202;[3] recordIndex=2, title=Titulo correcto, description=sex, periodInitial=2021/06/30 17:50, periodFinal=2021/08/31 18:55, workloadInHours=1.00, Link=null, isPublic=false;OK
2021-05-30 17:53:16.001;acme.testing.manager.task.ManagerTaskCreateTest;createNegative;5229;[4] recordIndex=3, title=Tarea 6, description=hacer la comida, periodInitial=2021/03/31 17:50, periodFinal=2021/08/31 18:55, workloadInHours=10.23, Link=http://www.sample-app.com/, isPublic=false;OK
2021-05-30 17:53:21.712;acme.testing.manager.task.ManagerTaskCreateTest;createNegative;5413;[5] recordIndex=3, title=Tarea 7, description=Descripcion, periodInitial=2021/07/31 17:50, periodFinal=2021/05/31 18:55, workloadInHours=20.99, Link=http://www.sample-app.com/, isPublic=true;OK
2021-05-30 17:53:27.129;acme.testing.manager.task.ManagerTaskCreateTest;createNegative;5150;[6] recordIndex=4, title=Titulo, description=ir al gym, periodInitial=2021/09/30 17:50, periodFinal=2021/10/31 18:55, workloadInHours=-3.00, Link=null, isPublic=false;OK
2021-05-30 17:53:32.629;acme.testing.manager.task.ManagerTaskCreateTest;createNegative;5232;[7] recordIndex=5, title=Tarea 9, description=Recoger colada, periodInitial=2021/06/30 17:50, periodFinal=2021/07/30 18:56, workloadInHours=725.00, Link=sample-app.com, isPublic=false;OK
2021-05-30 17:53:38.315;acme.testing.manager.task.ManagerTaskCreateTest;createNegative;5388;[8] recordIndex=6, title=null, description=I have to finish the dp delivery, periodInitial=2021/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true;OK
2021-05-30 17:53:44.131;acme.testing.manager.task.ManagerTaskCreateTest;createNegative;5547;[9] recordIndex=7, title=null, description=I have to finish the dp delivery, periodInitial=2021/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true;OK
2021-05-30 17:53:50.392;acme.testing.manager.task.ManagerTaskCreateTest;createNegative;5994;[10] recordIndex=8, title=Gustavo Adolfo Claudio Domínguez Bastida (February 171836 – December 221870) better known as Gustavo Adolfo Bécquer (Spanish pronunciation: [ɡusˈtaβo aˈðolfo ˈβekeɾ]) was a Spanish Romanticist poet and writer (mostly short stories) also a playwrigh literary columnist and talented in drawing. Today he is considered one of the most important figures in Spanish literature and is considered by some as the most read writer after Miguel de Cervantes.[1] He adopted the alias of Bécquer as his brother Valeriano Bé…, description=I have to finish the dp delivery, periodInitial=2021/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true;OK
2021-05-30 17:53:56.052;acme.testing.manager.task.ManagerTaskCreateTest;createNegative;5390;[11] recordIndex=9, title=Do exercises, description=null, periodInitial=2021/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true;OK
2021-05-30 17:54:01.688;acme.testing.manager.task.ManagerTaskCreateTest;createNegative;5354;[12] recordIndex=10, title=Do exercises, description=null, periodInitial=2021/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true;OK
2021-05-30 17:54:07.864;acme.testing.manager.task.ManagerTaskCreateTest;createNegative;5908;[13] recordIndex=11, title=Do exercises, description=Gustavo Adolfo Claudio Domínguez Bastida (February 171836 – December 221870) better known as Gustavo Adolfo Bécquer (Spanish pronunciation: [ɡusˈtaβo aˈðolfo ˈβekeɾ]) was a Spanish Romanticist poet and writer (mostly short stories) also a playwrigh literary columnist and talented in drawing. Today he is considered one of the most important figures in Spanish literature and is considered by some as the most read writer after Miguel de Cervantes.[1] He adopted the alias of Bécquer as his brother Valeriano Bé…, periodInitial=2021/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true;OK
2021-05-30 17:54:13.571;acme.testing.manager.task.ManagerTaskCreateTest;createNegative;5442;[14] recordIndex=12, title=Do exercises, description=I have to finish the dp delivery, periodInitial=2011/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true;OK
2021-05-30 17:54:19.257;acme.testing.manager.task.ManagerTaskCreateTest;createNegative;5417;[15] recordIndex=13, title=Do exercises, description=I have to finish the dp delivery, periodInitial=2011/08/03 17:50, periodFinal=2011/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true;OK
2021-05-30 17:54:25.086;acme.testing.manager.task.ManagerTaskCreateTest;createNegative;5555;[16] recordIndex=14, title=Do exercises, description=I have to finish the dp delivery, periodInitial=2021/08/03 17:50, periodFinal=2021/08/04 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true;OK
2021-05-30 17:54:30.841;acme.testing.manager.task.ManagerTaskCreateTest;createNegative;5474;[17] recordIndex=15, title=Do exercises, description=I have to finish the dp delivery, periodInitial=2022/08/03 17:50, periodFinal=2021/12/03 18:55, workloadInHours=999.59, Link=http://www.sample-app.com, isPublic=true;OK
2021-05-30 17:54:36.571;acme.testing.manager.task.ManagerTaskCreateTest;createNegative;5449;[18] recordIndex=16, title=Developing my application, description=I have to finish developing my application, periodInitial=2021/07/30 17:50, periodFinal=2021/07/31 19:55, workloadInHours=2000.01, Link=http://www.sample-app.com, isPublic=true;OK
