timestamp,test-class,test-method,time,description,result
2021-06-08 16:23:36.662,acme.testing.administrator.configuration.AdministratorConfigurationListTest,ListRecent,5870,"[1] recordIndex=0, spam=sex,duro,hard core,viagra,cialis,nigeria,has ganado,you've won,millon de dolares,million dollars, threshold=0.1",OK
2021-06-08 16:23:56.073,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatepositive,7380,"[1] recordIndex=0, spam=sex, threshold=0.1",OK
2021-06-08 16:24:03.627,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatepositive,7257,"[2] recordIndex=0, spam=sex, threshold=0",OK
2021-06-08 16:24:11.255,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatepositive,7347,"[3] recordIndex=0, spam=sex, threshold=1",OK
2021-06-08 16:24:18.784,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatepositive,7276,"[4] recordIndex=0, spam=sex, threshold=0.5",OK
2021-06-08 16:24:26.243,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatepositive,7209,"[5] recordIndex=0, spam=million dollars, threshold=0",OK
2021-06-08 16:24:32.869,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,6325,"[1] recordIndex=0, spam=null, threshold=-500",OK
2021-06-08 16:24:39.402,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,6280,"[2] recordIndex=0, spam=null, threshold=null",OK
2021-06-08 16:24:46.121,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,6435,"[3] recordIndex=0, spam=null, threshold=0",OK
2021-06-08 16:24:52.661,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,6245,"[4] recordIndex=0, spam=null, threshold=1.2",OK
2021-06-08 16:24:59.153,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,6242,"[5] recordIndex=0, spam=null, threshold=1",OK
2021-06-08 16:25:05.616,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,6212,"[6] recordIndex=0, spam=null, threshold=0.1",OK
2021-06-08 16:25:12.114,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,6248,"[7] recordIndex=0, spam=null, threshold=0.89",OK
2021-06-08 16:25:18.669,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,6304,"[8] recordIndex=0, spam=sex, threshold=null",OK
2021-06-08 16:25:25.293,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,6368,"[9] recordIndex=0, spam=sex, threshold=-0.1",OK
2021-06-08 16:25:31.869,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,6314,"[10] recordIndex=0, spam=sex, threshold=null",OK
2021-06-08 16:25:38.347,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,6227,"[11] recordIndex=0, spam=sex, threshold=1.2",OK
2021-06-08 16:25:44.907,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,6263,"[12] recordIndex=0, spam=sex, threshold=600",OK
2021-06-08 16:25:51.538,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,6362,"[13] recordIndex=0, spam=sex, threshold=-600",OK
2021-06-08 16:26:05.898,acme.testing.administrator.dashboard.AdministratorShowDashboardTest,managerDashboardNegative,3834,"[1] user=manager1, password=manager1",OK
2021-06-08 16:26:09.989,acme.testing.administrator.dashboard.AdministratorShowDashboardTest,managerDashboardNegative,3840,"[2] user=employer1, password=employer1",OK
2021-06-08 16:26:13.951,acme.testing.administrator.dashboard.AdministratorShowDashboardTest,administratoDashboardPositive,3708,"administratoDashboardPositive()",OK
2021-06-08 16:26:24.203,acme.testing.authenticated.task.AuthenticatedTaskListTest,listNegativeAuthenticated,238,"[1] recordIndex=0, title=Do exercises, description=I have to finish the dp delivery, periodInitial=2021/03/31 17:50, periodFinal=2021/03/31 18:55, workloadInHours=0.44, link=http://www.sample-app.com, isPublic=true",OK
