timestamp,test-class,test-method,time,description,result
2021-09-09 20:29:40.92,acme.testing.controlCheck.AnonymousControlCheckCreateTest,createPositive,6900,"[1] recordIndex=7, author=Jon Doe, text=Hello world, info=https://universidad.com, budget=EUR 25.00, isCheck=true",OK
2021-09-09 20:29:47.514,acme.testing.controlCheck.AnonymousControlCheckCreateTest,createPositive,6123,"[2] recordIndex=8, author=Juana, text=H, info=https://universidad.com, budget=EUR 25.00, isCheck=false",OK
2021-09-09 20:29:54.763,acme.testing.controlCheck.AnonymousControlCheckCreateTest,createPositive,6931,"[3] recordIndex=9, author=Jon Doe Rodriguez AAAAAAA, text=Hello world, info=https://universidad.com, budget=EUR 25.00, isCheck=true",OK
2021-09-09 20:30:01.19,acme.testing.controlCheck.AnonymousControlCheckCreateTest,createPositive,6094,"[4] recordIndex=10, author=Jon Doe, text=Hello world, info=https://, budget=EUR 25.00, isCheck=false",OK
2021-09-09 20:30:07.782,acme.testing.controlCheck.AnonymousControlCheckCreateTest,createPositive,6246,"[5] recordIndex=11, author=Jon Doe, text=Hello world, info=https://universidad.com, budget=EUR 0.00, isCheck=true",OK
2021-09-09 20:30:14.338,acme.testing.controlCheck.AnonymousControlCheckCreateTest,createPositive,6203,"[6] recordIndex=12, author=Jon Doe, text=Hello world, info=https://universidad.com, budget=USD 25.99, isCheck=true",OK
2021-09-09 20:30:21.009,acme.testing.controlCheck.AnonymousControlCheckCreateTest,createPositive,6289,"[7] recordIndex=13, author=Jon Doe, text=Hello world, info=https://universidad.com, budget=GBP 25.01, isCheck=true",OK
2021-09-09 20:30:27.698,acme.testing.controlCheck.AnonymousControlCheckCreateTest,createPositive,6356,"[8] recordIndex=14, author=Jon Doe, text=Hello world, info=https://universidad.com, budget=EUR 99.99, isCheck=true",OK
2021-09-09 20:30:31.372,acme.testing.controlCheck.AnonymousControlCheckCreateTest,createNegative,3355,"[1] recordIndex=7, author=Sex, text=Hello world, info=https://universidad.com, deadline=2021/09/16 19:39, insignia=wwwaww:2109:22, budget=EUR 25.00, isCheck=true",OK
2021-09-09 20:30:34.804,acme.testing.controlCheck.AnonymousControlCheckCreateTest,createNegative,3111,"[2] recordIndex=8, author=null, text=Good morning!, info=http://www.sample-app.com, deadline=2021/09/16 19:39, insignia=2021/09/09, budget=EUR 34, isCheck=false",OK
2021-09-09 20:30:38.528,acme.testing.controlCheck.AnonymousControlCheckCreateTest,createNegative,3360,"[3] recordIndex=9, author=Hi, text=null, info=http://www.sample-app.com, deadline=2021/09/16 19:39, insignia=2021/09/09, budget=EUR 34, isCheck=true",OK
2021-09-09 20:30:42.182,acme.testing.controlCheck.AnonymousControlCheckCreateTest,createNegative,3311,"[4] recordIndex=10, author=Juan, text=Hola, info=www.sample-app.com, deadline=2021/09/16 19:39, insignia=2021/09/09, budget=EUR 34, isCheck=true",OK
2021-09-09 20:30:45.808,acme.testing.controlCheck.AnonymousControlCheckCreateTest,createNegative,3273,"[5] recordIndex=11, author=Juana, text=Hola, info=http://www.sample-app.com, deadline=2021/09/14 19:39, insignia=2021/09/09, budget=EUR 34, isCheck=true",OK
2021-09-09 20:30:49.439,acme.testing.controlCheck.AnonymousControlCheckCreateTest,createNegative,3287,"[6] recordIndex=12, author=Juana, text=Hola, info=http://www.sample-app.com, deadline=2021/09/16 19:39, insignia=2021/09/08, budget=EUR 34, isCheck=true",OK
2021-09-09 20:30:53.129,acme.testing.controlCheck.AnonymousControlCheckCreateTest,createNegative,3379,"[7] recordIndex=13, author=Juana, text=Hola, info=http://www.sample-app.com, deadline=2021/09/14 19:39, insignia=2021/09/09, budget=WEST 34, isCheck=true",OK
2021-09-09 20:30:56.772,acme.testing.controlCheck.AnonymousControlCheckCreateTest,createNegative,3330,"[8] recordIndex=14, author=Juana, text=Hola, info=http://www.sample-app.com, deadline=2021/09/14 19:39, insignia=2021/09/09, budget=EUR -1, isCheck=true",OK
2021-09-09 20:31:00.508,acme.testing.controlCheck.AnonymousControlCheckCreateTest,createNegative,3406,"[9] recordIndex=15, author=Juana, text=Hola, info=http://www.sample-app.com, deadline=2021/09/14 19:39, insignia=2021/09/09, budget=EUR 0.00, isCheck=true",OK
2021-09-09 20:31:04.126,acme.testing.controlCheck.AnonymousControlCheckCreateTest,createNegative,3273,"[10] recordIndex=15, author=Juana, text=Hola, info=http://www.sample-app.com, deadline=2021/09/14 19:39, insignia=2021/09/09, budget=EUR 10.100, isCheck=true",OK
2021-09-09 20:31:19.385,acme.testing.controlCheck.AdministratorShowDashboardTest,managerDashboardNegative,4818,"[1] user=manager1, password=manager1",OK
2021-09-09 20:31:24.005,acme.testing.controlCheck.AdministratorShowDashboardTest,managerDashboardNegative,4287,"[2] user=employer1, password=employer1",OK
2021-09-09 20:31:28.709,acme.testing.controlCheck.AdministratorShowDashboardTest,administratoDashboardPositive,4365,"administratoDashboardPositive()",OK
2021-09-09 20:31:42.756,acme.testing.controlCheck.AnonymousControlCheckListTest,ListRecent,3089,"[1] recordIndex=0, moment=2021/08/20 00:00, author=Foo Bar, text=Just turning 50!, info=null, date=2021/01/01 19:39, money=wwwaww:2012:24, isCheck=USD 100.00",OK
2021-09-09 20:31:45.981,acme.testing.controlCheck.AnonymousControlCheckListTest,ListRecent,2895,"[2] recordIndex=1, moment=2021/08/21 15:55, author=Jane Doe, text=I have to clean the car, info=http://www.lavaderoSevilla.com, date=2020/01/04 19:39, money=wwwwaw:2012:27, isCheck=USD 25.00",OK
2021-09-09 20:31:49.369,acme.testing.controlCheck.AnonymousControlCheckListTest,ListRecent,3075,"[3] recordIndex=2, moment=2021/08/22 19:39, author=John Doe, text=I'm happy!, info=null, date=2021/07/12 19:39, money=wwwwwa:2107:05, isCheck=EUR 24.00",OK
2021-09-09 20:31:52.675,acme.testing.controlCheck.AnonymousControlCheckListTest,ListRecent,2974,"[4] recordIndex=3, moment=2021/08/23 12:30, author=Leslie Design, text=I have to go to the dry cleaner!, info=http://cleanApp.com, date=2020/06/22 19:39, money=wwawww:2006:15, isCheck=GBP 34.00",OK
2021-09-09 20:31:55.967,acme.testing.controlCheck.AnonymousControlCheckListTest,ListRecent,2940,"[5] recordIndex=4, moment=2021/08/24 12:30, author=Marta Design, text=I have to study for the exams, info=https://www.informatica.us.es/, date=2021/03/04 19:39, money=wawwww:2102:19, isCheck=EUR 89.00",OK
2021-09-09 20:31:59.258,acme.testing.controlCheck.AnonymousControlCheckListTest,ListRecent,2955,"[6] recordIndex=5, moment=2021/08/25 12:30, author=Leslie Design-Testing, text=There are great movies, info=https://www.netflix.com/, date=2021/03/23 19:39, money=wwwwwb:2103:16, isCheck=EUR 0.00",OK
2021-09-09 20:32:02.544,acme.testing.controlCheck.AnonymousControlCheckListTest,ListRecent,2958,"[7] recordIndex=6, moment=2021/08/26 11:30, author=Manuel Rodriguez, text=Good morning! This is a fantastic app, info=http://www.sample-app.com, date=2020/08/07 19:39, money=awwwww:2007:22, isCheck=USD 90.00",OK
2021-09-09 20:32:07.165,acme.testing.controlCheck.AnonymousControlCheckListTest,listAnonymousNegative,4308,"[1] user=manager1, password=manager1",OK
2021-09-09 20:32:11.943,acme.testing.controlCheck.AnonymousControlCheckListTest,listAnonymousNegative,4418,"[2] user=employer1, password=employer1",OK
